,Period,Product,Sub-Product,Measure,Net balance at 1 January,CSM recognised in profit or loss for the services provided,Risk Adjustment recognised for the risk expired,Experience adjustments,Changes that relate to current service,Changes in estimates that adjust the CSM,Changes in estimates that result in onerous contract losses or reversal of losses,Contracts initially recognised in the period,Changes that relate to future service,Adjustments to liabilities for incurred claims,Changes that relate to past service,Insurance service result,Finance expenses from insurance contracts issued,Effects of movements in exchange rates,Investment Component and Premium Refund,Total recognised in comprehensive income,Premiums received,Claims and other directly attributable expenses paid,Insurance acquisition cash flows,Total cash flows,Net balance at 31 December
0,2019,Present value of future cash flows,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2019,NPA,ABC,Risk Adjustment,0.0,0.0,13989.0,0.0,13989.0,-88657.0,0.0,0.0,-88657.0,0.0,0.0,-74668.0,-3582417.0,0,-3582417.0,-3657085.0,0.0,0.0,0.0,0.0,-3657085.0
0,2019,NPA,ABC,Contractual Service Margin,0.0,2756117.0,0.0,0.0,2756117.0,-4489537.0,0.0,0.0,-4489537.0,0.0,0.0,-1733420.0,-1139465.0,0,-1139465.0,-2872885.0,0.0,0.0,0.0,0.0,-2872885.0
0,2019,NPA,ABC,Total,,,,,,,,,,,,,,0,,,,,,,
0,2020,NPA,ABC,Present value of future cash flows,,0.0,0.0,38557090.0,38557090.0,24927983.0,0.0,-252815054.0,-227887071.0,0.0,0.0,-189329981.0,-76149867.0,0,-76149867.0,-265479848.0,283121927.0,-103841751.0,-2727342.0,176552834.0,
0,2020,NPA,ABC,Risk Adjustment,-3657085.0,0.0,13989.0,0.0,13989.0,-88657.0,0.0,-4624745.0,-4713402.0,0.0,0.0,-4699413.0,-3582417.0,0,-3582417.0,-8281830.0,0.0,0.0,0.0,0.0,-11938915.0
0,2020,NPA,ABC,Contractual Service Margin,-2872885.0,2756117.0,0.0,0.0,2756117.0,-4489537.0,0.0,-22954786.0,-27444323.0,0.0,0.0,-24688206.0,-1139465.0,0,-1139465.0,-25827671.0,0.0,0.0,0.0,0.0,-28700556.0
0,2020,NPA,ABC,Total,,2756117.0,13989.0,38557090.0,41327196.0,20349789.0,0.0,-280394585.0,-260044796.0,0.0,0.0,-218717600.0,-80871749.0,0,-80871749.0,-299589349.0,283121927.0,-103841751.0,-2727342.0,176552834.0,
0,2021,NPA,ABC,Present value of future cash flows,,0.0,0.0,38557090.0,38557090.0,14927983.0,0.0,0.0,14927983.0,0.0,0.0,53485073.0,-76149867.0,0,-76149867.0,-22664794.0,283121927.0,-103841751.0,-2727342.0,176552834.0,
0,2021,NPA,ABC,Risk Adjustment,-11938915.0,0.0,13989.0,0.0,13989.0,-88657.0,0.0,0.0,-88657.0,0.0,0.0,-74668.0,-3582417.0,0,-3582417.0,-3657085.0,0.0,0.0,0.0,0.0,-15596000.0
0,2021,NPA,ABC,Contractual Service Margin,-28700556.0,2756117.0,0.0,0.0,2756117.0,-4489537.0,0.0,0.0,-4489537.0,0.0,0.0,-1733420.0,-1139465.0,0,-1139465.0,-2872885.0,0.0,0.0,0.0,0.0,-31573441.0
0,2021,NPA,ABC,Total,,2756117.0,13989.0,38557090.0,41327196.0,10349789.0,0.0,0.0,10349789.0,0.0,0.0,51676985.0,-80871749.0,0,-80871749.0,-29194764.0,283121927.0,-103841751.0,-2727342.0,176552834.0,
0,2022,NPA,ABC,Present value of future cash flows,,0.0,0.0,38557090.0,38557090.0,24927983.0,0.0,0.0,24927983.0,0.0,0.0,63485073.0,-76149867.0,0,-76149867.0,-12664794.0,283121927.0,-103841751.0,-2727342.0,176552834.0,
0,2022,NPA,ABC,Risk Adjustment,-15596000.0,0.0,13989.0,0.0,13989.0,-88657.0,0.0,0.0,-88657.0,0.0,0.0,-74668.0,-3582417.0,0,-3582417.0,-3657085.0,0.0,0.0,0.0,0.0,-19253085.0
0,2022,NPA,ABC,Contractual Service Margin,-31573441.0,2756117.0,0.0,0.0,2756117.0,-4489537.0,0.0,0.0,-4489537.0,0.0,0.0,-1733420.0,-1139465.0,0,-1139465.0,-2872885.0,0.0,0.0,0.0,0.0,-34446326.0
0,2022,NPA,ABC,Total,,2756117.0,13989.0,38557090.0,41327196.0,20349789.0,0.0,0.0,20349789.0,0.0,0.0,61676985.0,-80871749.0,0,-80871749.0,-19194764.0,283121927.0,-103841751.0,-2727342.0,176552834.0,
